,year,city,month,overnight_stays,bezirk,nr
0,2001,Innsbruck,1,85226,I,101
1,2001,Innsbruck,2,94008,I,101
2,2001,Innsbruck,3,90568,I,101
3,2001,Innsbruck,4,75066,I,101
4,2001,Innsbruck,5,97699,I,101
5,2001,Innsbruck,6,110731,I,101
6,2001,Innsbruck,7,143464,I,101
7,2001,Innsbruck,8,145541,I,101
8,2001,Innsbruck,9,106381,I,101
9,2001,Innsbruck,10,82178,I,101
10,2001,Innsbruck,11,55665,I,101
11,2001,Innsbruck,12,90548,I,101
12,2001,Arzl im Pitztal,1,14888,IM,201
13,2001,Arzl im Pitztal,2,18463,IM,201
14,2001,Arzl im Pitztal,3,12073,IM,201
15,2001,Arzl im Pitztal,4,9645,IM,201
16,2001,Arzl im Pitztal,5,5812,IM,201
17,2001,Arzl im Pitztal,6,11269,IM,201
18,2001,Arzl im Pitztal,7,18957,IM,201
19,2001,Arzl im Pitztal,8,17889,IM,201
20,2001,Arzl im Pitztal,9,10862,IM,201
21,2001,Arzl im Pitztal,10,6810,IM,201
22,2001,Arzl im Pitztal,11,527,IM,201
23,2001,Arzl im Pitztal,12,9203,IM,201
24,2001,Haiming,1,6468,IM,202
25,2001,Haiming,2,7319,IM,202
26,2001,Haiming,3,7237,IM,202
27,2001,Haiming,4,4503,IM,202
28,2001,Haiming,5,3786,IM,202
29,2001,Haiming,6,6455,IM,202
30,2001,Haiming,7,13539,IM,202
31,2001,Haiming,8,13007,IM,202
32,2001,Haiming,9,5641,IM,202
33,2001,Haiming,10,2471,IM,202
34,2001,Haiming,11,776,IM,202
35,2001,Haiming,12,6180,IM,202
36,2001,Imst,1,18474,IM,203
37,2001,Imst,2,19707,IM,203
38,2001,Imst,3,14529,IM,203
39,2001,Imst,4,8019,IM,203
40,2001,Imst,5,10289,IM,203
41,2001,Imst,6,17756,IM,203
42,2001,Imst,7,29725,IM,203
43,2001,Imst,8,26555,IM,203
44,2001,Imst,9,2547,IM,203
45,2001,Imst,10,10330,IM,203
46,2001,Imst,11,3952,IM,203
47,2001,Imst,12,14382,IM,203
48,2001,Imsterberg,1,660,IM,204
49,2001,Imsterberg,2,1119,IM,204
50,2001,Imsterberg,3,647,IM,204
51,2001,Imsterberg,4,577,IM,204
52,2001,Imsterberg,5,540,IM,204
53,2001,Imsterberg,6,1002,IM,204
54,2001,Imsterberg,7,1944,IM,204
55,2001,Imsterberg,8,1662,IM,204
56,2001,Imsterberg,9,748,IM,204
57,2001,Imsterberg,10,148,IM,204
58,2001,Imsterberg,11,37,IM,204
59,2001,Imsterberg,12,935,IM,204
60,2001,Jerzens,1,33578,IM,205
61,2001,Jerzens,2,40558,IM,205
62,2001,Jerzens,3,31640,IM,205
63,2001,Jerzens,4,22892,IM,205
64,2001,Jerzens,5,1536,IM,205
65,2001,Jerzens,6,7062,IM,205
66,2001,Jerzens,7,18682,IM,205
67,2001,Jerzens,8,19990,IM,205
68,2001,Jerzens,9,10959,IM,205
69,2001,Jerzens,10,3497,IM,205
70,2001,Jerzens,11,3217,IM,205
71,2001,Jerzens,12,20206,IM,205
72,2001,Karres,1,205,IM,206
73,2001,Karres,2,325,IM,206
74,2001,Karres,3,100,IM,206
75,2001,Karres,4,57,IM,206
76,2001,Karres,5,214,IM,206
77,2001,Karres,6,389,IM,206
78,2001,Karres,7,904,IM,206
79,2001,Karres,8,885,IM,206
80,2001,Karres,9,347,IM,206
81,2001,Karres,10,14,IM,206
82,2001,Karres,11,14,IM,206
83,2001,Karres,12,314,IM,206
84,2001,Karrösten,1,2494,IM,207
85,2001,Karrösten,2,1839,IM,207
86,2001,Karrösten,3,1693,IM,207
87,2001,Karrösten,4,500,IM,207
88,2001,Karrösten,5,1336,IM,207
89,2001,Karrösten,6,1845,IM,207
90,2001,Karrösten,7,2292,IM,207
91,2001,Karrösten,8,1737,IM,207
92,2001,Karrösten,9,2179,IM,207
93,2001,Karrösten,10,1059,IM,207
94,2001,Karrösten,11,431,IM,207
95,2001,Karrösten,12,1663,IM,207
96,2001,Längenfeld,1,63390,IM,208
97,2001,Längenfeld,2,74171,IM,208
98,2001,Längenfeld,3,65204,IM,208
99,2001,Längenfeld,4,43379,IM,208
100,2001,Längenfeld,5,11672,IM,208
101,2001,Längenfeld,6,20646,IM,208
102,2001,Längenfeld,7,66324,IM,208
103,2001,Längenfeld,8,63434,IM,208
104,2001,Längenfeld,9,23563,IM,208
105,2001,Längenfeld,10,9843,IM,208
106,2001,Längenfeld,11,3980,IM,208
107,2001,Längenfeld,12,50104,IM,208
108,2001,Mieming,1,8329,IM,209
109,2001,Mieming,2,9290,IM,209
110,2001,Mieming,3,7067,IM,209
111,2001,Mieming,4,8386,IM,209
112,2001,Mieming,5,8777,IM,209
113,2001,Mieming,6,11017,IM,209
114,2001,Mieming,7,17078,IM,209
115,2001,Mieming,8,18250,IM,209
116,2001,Mieming,9,12421,IM,209
117,2001,Mieming,10,10085,IM,209
118,2001,Mieming,11,6822,IM,209
119,2001,Mieming,12,8175,IM,209
120,2001,Mils bei Imst,1,33,IM,210
121,2001,Mils bei Imst,2,24,IM,210
122,2001,Mils bei Imst,3,59,IM,210
123,2001,Mils bei Imst,4,49,IM,210
124,2001,Mils bei Imst,5,30,IM,210
125,2001,Mils bei Imst,6,101,IM,210
126,2001,Mils bei Imst,7,196,IM,210
127,2001,Mils bei Imst,8,185,IM,210
128,2001,Mils bei Imst,9,105,IM,210
129,2001,Mils bei Imst,10,78,IM,210
130,2001,Mils bei Imst,11,2,IM,210
131,2001,Mils bei Imst,12,35,IM,210
132,2001,Mötz,1,0,IM,211
133,2001,Mötz,2,56,IM,211
134,2001,Mötz,3,232,IM,211
135,2001,Mötz,4,27,IM,211
136,2001,Mötz,5,65,IM,211
137,2001,Mötz,6,638,IM,211
138,2001,Mötz,7,903,IM,211
139,2001,Mötz,8,273,IM,211
140,2001,Mötz,9,752,IM,211
141,2001,Mötz,10,4,IM,211
142,2001,Mötz,11,113,IM,211
143,2001,Mötz,12,32,IM,211
144,2001,Nassereith,1,4445,IM,212
145,2001,Nassereith,2,8185,IM,212
146,2001,Nassereith,3,3697,IM,212
147,2001,Nassereith,4,1960,IM,212
148,2001,Nassereith,5,4909,IM,212
149,2001,Nassereith,6,10626,IM,212
150,2001,Nassereith,7,17838,IM,212
151,2001,Nassereith,8,17394,IM,212
152,2001,Nassereith,9,8433,IM,212
153,2001,Nassereith,10,4157,IM,212
154,2001,Nassereith,11,346,IM,212
155,2001,Nassereith,12,4983,IM,212
156,2001,Obsteig,1,15827,IM,213
157,2001,Obsteig,2,18469,IM,213
158,2001,Obsteig,3,7183,IM,213
159,2001,Obsteig,4,4499,IM,213
160,2001,Obsteig,5,8665,IM,213
161,2001,Obsteig,6,15056,IM,213
162,2001,Obsteig,7,20138,IM,213
163,2001,Obsteig,8,19816,IM,213
164,2001,Obsteig,9,18166,IM,213
165,2001,Obsteig,10,14920,IM,213
166,2001,Obsteig,11,457,IM,213
167,2001,Obsteig,12,9045,IM,213
168,2001,Oetz,1,28612,IM,214
169,2001,Oetz,2,38407,IM,214
170,2001,Oetz,3,29198,IM,214
171,2001,Oetz,4,20102,IM,214
172,2001,Oetz,5,7558,IM,214
173,2001,Oetz,6,18784,IM,214
174,2001,Oetz,7,33494,IM,214
175,2001,Oetz,8,37591,IM,214
176,2001,Oetz,9,19220,IM,214
177,2001,Oetz,10,6658,IM,214
178,2001,Oetz,11,917,IM,214
179,2001,Oetz,12,20365,IM,214
180,2001,Rietz,1,297,IM,215
181,2001,Rietz,2,221,IM,215
182,2001,Rietz,3,163,IM,215
183,2001,Rietz,4,189,IM,215
184,2001,Rietz,5,209,IM,215
185,2001,Rietz,6,403,IM,215
186,2001,Rietz,7,710,IM,215
187,2001,Rietz,8,563,IM,215
188,2001,Rietz,9,617,IM,215
189,2001,Rietz,10,472,IM,215
190,2001,Rietz,11,355,IM,215
191,2001,Rietz,12,429,IM,215
192,2001,Roppen,1,1666,IM,216
193,2001,Roppen,2,2218,IM,216
194,2001,Roppen,3,1332,IM,216
195,2001,Roppen,4,390,IM,216
196,2001,Roppen,5,947,IM,216
197,2001,Roppen,6,1657,IM,216
198,2001,Roppen,7,2898,IM,216
199,2001,Roppen,8,2586,IM,216
200,2001,Roppen,9,1072,IM,216
201,2001,Roppen,10,537,IM,216
202,2001,Roppen,11,65,IM,216
203,2001,Roppen,12,1326,IM,216
204,2001,St.Leonhard/Pitztal,1,59049,IM,217
205,2001,St.Leonhard/Pitztal,2,68630,IM,217
206,2001,St.Leonhard/Pitztal,3,61798,IM,217
207,2001,St.Leonhard/Pitztal,4,66661,IM,217
208,2001,St.Leonhard/Pitztal,5,11226,IM,217
