PLZ,Gemeinde
6973,Fußach
6973,Höchst
6974,Gaißau
6991,Riezlern
6992,Mittelberg
6993,Mittelberg
6020,Innsbruck
6020,Innsbruck
6020,Innsbruck
6020,Innsbruck
6020,Innsbruck
6020,Innsbruck
6020,Innsbruck
6020,Innsbruck
6020,Mutters
6020,Mutters
6020,Natters
6020,Schönberg im Stubaital
6060,Hall in Tirol
6060,Hall in Tirol
6060,Thaur
6063,Rum
6063,Thaur
6065,Thaur
6067,Absam
6068,Mils
6069,Gnadenwald
6070,Ampass
6071,Aldrans
6072,Lans
6073,Aldrans
6073,Sistrans
6074,Rinn
6075,Tulfes
6075,Tulfes
6080,Innsbruck
6080,Innsbruck
6082,Patsch
6083,Ellbögen
6091,Götzens
6091,Natters
6092,Birgitz
6094,Axams
6094,Axams
6094,Axams
6094,Axams
6095,Grinzens
6100,Leutasch
6100,Reith bei Seefeld
6100,Seefeld in Tirol
6100,Telfs
6100,Telfs
6103,Reith bei Seefeld
6105,Leutasch
6108,Scharnitz
6111,Volders
6111,Volders
6111,Volders
6112,Wattens
6113,Wattenberg
6114,Kolsass
6115,Kolsassberg
6116,Weer
6121,Baumkirchen
6122,Fritzens
6123,Terfens
6123,Terfens
6123,Terfens
6123,Terfens
6123,Terfens
6123,Terfens
6123,Terfens
6130,Schwaz
6133,Weerberg
6134,Vomp
6134,Vomp
6134,Vomp
6134,Vomp
6135,Stans
6135,Stans
6136,Pill
6141,Schönberg im Stubaital
6142,Mieders
6143,Matrei am Brenner
6143,Mühlbachl
6143,Mühlbachl
6143,Mühlbachl
6143,Mühlbachl
6143,Mühlbachl
6143,Mühlbachl
6143,Mühlbachl
6143,Pfons
6143,Pfons
6145,Navis
6145,Navis
6145,Navis
6150,Gschnitz
6150,Mühlbachl
6150,Steinach am Brenner
6150,Steinach am Brenner
6150,Steinach am Brenner
6150,Trins
6152,Trins
6154,Schmirn
6154,Schmirn
6154,Vals
6156,Gries am Brenner
6157,Obernberg am Brenner
6161,Natters
6162,Mutters
6162,Mutters
6162,Mutters
6165,Telfes im Stubai
6165,Telfes im Stubai
6165,Telfes im Stubai
6165,Telfes im Stubai
6166,Fulpmes
6166,Fulpmes
6167,Fulpmes
6167,Neustift im Stubaital
6170,Pettnau
6170,Zirl
6173,Oberperfuss
6175,Kematen in Tirol
6175,Kematen in Tirol
6176,Kematen in Tirol
6176,Völs
6178,Unterperfuss
6179,Ranggen
6181,Sellrain
6182,Gries im Sellrain
6182,Stams
6183,Kühtai
6184,St. Sigmund im Sellrain
6200,Jenbach
6200,Jenbach
6200,Stans
6200,Strass im Zillertal
6210,Wiesing
6210,Wiesing
6210,Wiesing
6210,Wiesing
6210,Wiesing
6210,Wiesing
6210,Wiesing
6210,Wiesing
6212,Maurach
6213,Pertisau
6215,Achenkirch
6215,Eben am Achensee
6215,Eben am Achensee
6215,Steinberg am Rofan
6215,Vomp
6220,Buch in Tirol
6222,Gallzein
6230,Brixlegg
6230,Brixlegg
6230,Brixlegg
6232,Münster
6233,Kramsach
6233,Kramsach
6234,Brandenberg
6234,Brandenberg
6235,Reith im Alpbachtal
6235,Reith im Alpbachtal
6235,Reith im Alpbachtal
6236,Alpbach
6236,Reith im Alpbachtal
6240,Rattenberg
6241,Radfeld
6250,Kundl
6250,Kundl
6250,Kundl
6252,Breitenbach am Inn
6252,Breitenbach am Inn
6252,Breitenbach am Inn
6252,Breitenbach am Inn
6260,Bruck am Ziller
6260,Bruck am Ziller
6260,Bruck am Ziller
6260,Reith im Alpbachtal
6261,Schlitters
6261,Strass im Zillertal
6262,Schlitters
6263,Fügen
6263,Fügen
6263,Fügen
6263,Fügen
6263,Schlitters
6264,Fügenberg
6264,Fügenberg
6265,Hart im Zillertal
6265,Hart im Zillertal
6265,Hart im Zillertal
6271,Uderns
6271,Uderns
6271,Uderns
6272,Emberg
6272,Kaltenbach
6273,Ried im Zillertal
6274,Aschau im Zillertal
6274,Aschau im Zillertal
6275,Stumm
6276,Stummerberg
6276,Stummerberg
6277,Zellberg
6277,Zellberg
6278,Hainzenberg
6280,Gerlosberg
6280,Rohrberg
6280,Zell am Ziller
6281,Gerlos
6283,Hippach
6283,Hippach
6283,Schwendau
6283,Zell am Ziller
6284,Ramsau im Zillertal
6290,Brandberg
6290,Finkenberg
6290,Mayrhofen
6290,Schwendau
6292,Finkenberg
6292,Schwendau
6293,Finkenberg
6293,Tux
6294,Tux
6295,Ginzling
6295,Mayrhofen
6300,Wörgl
6305,Itter
6306,Söll
6311,Oberau
6311,Thierbach
6311,Wildschönau
6313,Oberau
6313,Wildschönau
6314,Hopfgarten im Brixental
6314,Wildschönau
