PLZ,Gemeinde
6067,Absam
6215,Achenkirch
6861,Alberschwende
6073,Aldrans
6236,Alpbach
6844,Altach
6070,Ampass
6866,Andelsbuch
6321,Angath
6320,Angerberg
6471,Arzl im Pitztal
6274,Aschau im Zillertal
6883,Au
6371,Aurach bei Kitzbühel
6094,Axams
6654,Bach
6323,Bad Häring
6781,Bartholomäberg
6121,Baumkirchen
6622,Berwang
6874,Bezau
6633,Biberwier
6621,Bichlbach
6731,Bickelwald
6858,Bildstein
6092,Birgitz
6874,Bizau
6723,Blons
6751,Bludenz
6719,Bludesch
6731,Boden
6708,Brand
6290,Brandberg
6234,Brandenberg
6911,Bregenz
6731,Bregenzer
6252,Breitenbach am Inn
6600,Breitenwang
6364,Brixen im Thale
6230,Brixlegg
6260,Bruck am Ziller
6960,Buch
6220,Buch in Tirol
6731,Bühl
6706,Bürs
6707,Bürserberg
6764,Dalaas
6884,Damüls
6933,Doren
6850,Dornbirn
6822,Düns
6822,Dünserberg
6341,Ebbs
6215,Eben am Achensee
6863,Egg
6671,Ehenbichl
6632,Ehrwald
6911,Eichenberg
6653,Elbigenalp
6083,Ellbögen
6352,Ellmau
6644,Elmen
6272,Emberg
6343,Erl
6383,Erpfendorf
6525,Faggen
6731,Faschinastraße
6800,Feldkirch
6528,Fendels
6391,Fieberbrunn
6293,Finkenberg
6533,Fiss
6403,Flaurling
6731,Flecken
6521,Fließ
6572,Flirsch
6733,Fontanella
6670,Forchach
6820,Frastanz
6833,Fraxern
6122,Fritzens
6263,Fügen
6264,Fügenberg
6167,Fulpmes
6973,Fußach
6974,Gaißau
6222,Gallzein
6563,Galtür
6787,Gargellen
6731,Garsella
6794,Gaschurn
6281,Gerlos
6280,Gerlosberg
6295,Ginzling
6069,Gnadenwald
6811,Göfis
6353,Going am Wilden Kaiser
6091,Götzens
6840,Götzis
6650,Gramais
6673,Grän
6156,Gries am Brenner
6182,Gries im Sellrain
6591,Grins
6095,Grinzens
6150,Gschnitz
6433,Haiming
6278,Hainzenberg
6731,Halde
6060,Hall in Tirol
6971,Hard
6265,Hart im Zillertal
6651,Häselgehr
6402,Hatting
6611,Heiterwang
6646,Hinterhornbach
6283,Hippach
6952,Hittisau
6395,Hochfilzen
6973,Höchst
6604,Höfen
6845,Hohenems
6914,Hohenweiler
6654,Holzgau
6361,Hopfgarten im Brixental
6912,Hörbranz
6460,Imst
6492,Imsterberg
6751,Innerbraz
6080,Innsbruck
6401,Inzing
6562,Ischgl
6305,Itter
6200,Jenbach
6474,Jerzens
6373,Jochberg
6691,Jungholz
6655,Kaisers
6272,Kaltenbach
6555,Kappl
6462,Karres
6463,Karrösten
6527,Kaunerberg
6524,Kaunertal
6526,Kauns
6361,Kelchsau
6176,Kematen in Tirol
6921,Kennelbach
6365,Kirchberg in Tirol
6322,Kirchbichl
6383,Kirchdorf in Tirol
6370,Kitzbühel
6833,Klaus
6762,Klösterle
6842,Koblach
6114,Kolsass
6115,Kolsassberg
6345,Kössen
6233,Kramsach
6942,Krumbach
6330,Kufstein
6183,Kühtai
6250,Kundl
6532,Ladis
6500,Landeck
6932,Langen bei Bregenz
6941,Langenegg
6444,Längenfeld
6336,Langkampfen
6072,Lans
6830,Laterns
6923,Lauterach
6764,Lech
6600,Lechaschau
6631,Lermoos
6105,Leutasch
6951,Lingenau
6911,Lochau
6700,Lorüns
6713,Ludesch
6890,Lustenau
6841,Mäder
6324,Mariastein
6143,Matrei am Brenner
6212,Maurach
6295,Mayrhofen
6812,Meiningen
6881,Mellau
6142,Mieders
6414,Mieming
6068,Mils
6493,Mils bei Imst
6993,Mittelberg
6900,Möggers
6423,Mötz
6150,Mühlbachl
6731,Mühle
6232,Münster
6600,Musau
6162,Mutters
6623,Namlos
6465,Nassereith
6161,Natters
6543,Nauders
6145,Navis
6820,Nenzing
6731,Nesler
6672,Nesselwängle
6167,Neustift im Stubaital
6342,Niederndorf
